件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
54600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間49分49秒
54700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間50分25秒
54800000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間51分04秒
54900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間51分41秒
55000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,02時間52分19秒
55100000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,02時間53分11秒
55200000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,02時間53分48秒
55300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間54分25秒
55400000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,02時間55分03秒
55500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分03秒,00時間00分00秒,02時間55分42秒
55600000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,02時間56分32秒
55700000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,02時間57分11秒
55800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,02時間57分47秒
55900000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分00秒,00時間00分00秒,02時間58分37秒
56000000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,02時間59分13秒
56100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,02時間59分50秒
56200000,00時間00分52秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分03秒,00時間00分00秒,03時間00分42秒
56300000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,03時間01分21秒
56400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,03時間01分58秒
56500000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,03時間02分48秒
56600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,03時間03分24秒
56700000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分03秒,00時間00分00秒,03時間04分03秒
56800000,00時間00分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,03時間04分52秒
56900000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間05分30秒
57000000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間06分07秒
57100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,03時間06分43秒
57200000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,03時間07分33秒
57300000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,03時間08分12秒
57400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,03時間08分49秒
57500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分03秒,00時間00分00秒,03時間09分27秒
57600000,00時間00分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分00秒,00時間00分00秒,03時間10分17秒
57700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間10分54秒
57800000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間11分31秒
57900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間12分09秒
58000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間12分46秒
58100000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分00秒,00時間00分00秒,03時間13分37秒
58200000,00時間01分06秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分04秒,00時間00分02秒,00時間00分00秒,03時間14分43秒
58300000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分01秒,00時間00分00秒,03時間14分52秒
58400000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分09秒,00時間00分00秒,03時間15分10秒
58500000,00時間00分12秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分10秒,00時間00分01秒,00時間00分00秒,03時間15分22秒
58600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分01秒,00時間00分00秒,03時間15分32秒
58700000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分04秒,00時間00分00秒,03時間15分43秒
58800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間16分20秒
58900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間16分58秒
59000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,03時間17分35秒
59100000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,03時間18分14秒
59200000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間18分51秒
59300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間19分29秒
59400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,03時間20分06秒
59500000,00時間01分03秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分02秒,00時間00分00秒,00時間00分00秒,03時間21分09秒
59600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,03時間21分19秒
59700000,00時間00分11秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分04秒,00時間00分00秒,03時間21分30秒
59800000,00時間00分22秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分18秒,00時間00分03秒,00時間00分00秒,03時間21分53秒
59900000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分03秒,00時間00分00秒,03時間22分03秒
60000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間22分41秒
60100000,00時間00分23秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分21秒,00時間00分01秒,00時間00分00秒,03時間23分04秒
60200000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間23分42秒
60300000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,03時間24分34秒
60400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間25分12秒
60500000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分03秒,00時間00分00秒,03時間25分51秒
60600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間26分29秒
60700000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,03時間27分08秒
60800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,03時間27分45秒
60900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間28分22秒
61000000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,03時間28分59秒
61100000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分03秒,00時間00分00秒,03時間29分38秒
61200000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分02秒,00時間00分00秒,03時間30分30秒
61300000,00時間01分03秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間01分02秒,00時間00分01秒,00時間00分00秒,03時間31分33秒
61400000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分03秒,00時間00分00秒,03時間31分44秒
61500000,00時間00分13秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分06秒,00時間00分00秒,03時間31分57秒
61600000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分15秒,00時間00分01秒,00時間00分00秒,03時間32分14秒
61700000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分01秒,00時間00分00秒,03時間32分25秒
61800000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,03時間33分02秒
61900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間33分40秒
62000000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,03時間34分19秒
62100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間34分57秒
62200000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間35分35秒
62300000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,03時間36分26秒
62400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間37分04秒
62500000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,03時間37分41秒
62600000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間38分19秒
62700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間38分57秒
62800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,03時間39分33秒
62900000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分02秒,00時間00分00秒,03時間40分24秒
63000000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,03時間41分01秒
63100000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間41分39秒
63200000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分00秒,00時間00分00秒,03時間42分30秒
63300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間43分07秒
63400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間43分44秒
63500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間44分23秒
63600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間45分00秒
63700000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,03時間45分38秒
63800000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分02秒,00時間00分00秒,03時間46分30秒
63900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間47分07秒
64000000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,03時間47分43秒
64100000,00時間00分52秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分03秒,00時間00分00秒,03時間48分36秒
64200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,03時間49分12秒
64300000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間49分50秒
64400000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分03秒,00時間00分00秒,03時間50分42秒
64500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間51分20秒
64600000,00時間00分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分00秒,00時間00分00秒,03時間52分10秒
64700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,03時間52分46秒
64800000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分02秒,00時間00分00秒,03時間53分37秒
64900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,03時間54分15秒
65000000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,03時間55分05秒
65100000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,03時間55分43秒
65200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,03時間56分20秒
65300000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分03秒,00時間00分00秒,03時間56分59秒
65400000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分02秒,00時間00分00秒,03時間57分50秒
65500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,03時間58分29秒
65600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間59分07秒
65700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,03時間59分44秒
65800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間00分21秒
65900000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分03秒,00時間00分00秒,04時間01分00秒
66000000,00時間00分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分00秒,00時間00分00秒,04時間01分50秒
66100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間02分27秒
66200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間03分03秒
66300000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,04時間03分42秒
66400000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,04時間04分33秒
66500000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間05分10秒
66600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間05分47秒
66700000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間06分38秒
66800000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間07分15秒
66900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間07分52秒
67000000,00時間00分52秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分02秒,00時間00分00秒,04時間08分44秒
67100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間09分21秒
67200000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,04時間10分00秒
67300000,00時間00分49秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,04時間10分50秒
67400000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分03秒,00時間00分00秒,04時間11分30秒
67500000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間12分21秒
67600000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,04時間13分00秒
67700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間13分37秒
67800000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,04時間14分16秒
67900000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間14分54秒
68000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間15分32秒
68100000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間16分08秒
68200000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間17分00秒
68300000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間17分38秒
68400000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間18分17秒
68500000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間18分55秒
68600000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間19分46秒
68700000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間20分25秒
68800000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間21分02秒
68900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間21分40秒
69000000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間22分31秒
69100000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分00秒,00時間00分00秒,04時間23分07秒
69200000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間23分45秒
69300000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,04時間24分35秒
69400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間25分13秒
69500000,00時間00分52秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分02秒,00時間00分00秒,04時間26分05秒
69600000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間26分43秒
69700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間27分20秒
69800000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間27分58秒
69900000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,04時間28分49秒
70000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間29分27秒
70100000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間30分04秒
70200000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間30分43秒
70300000,00時間00分52秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分02秒,00時間00分00秒,04時間31分35秒
70400000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間32分12秒
70500000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分02秒,00時間00分00秒,04時間33分03秒
70600000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間33分40秒
70700000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,04時間34分17秒
70800000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分02秒,00時間00分00秒,04時間35分08秒
70900000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間35分46秒
71000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間36分23秒
71100000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間37分14秒
71200000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間37分52秒
71300000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分01秒,00時間00分00秒,04時間38分43秒
71400000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分02秒,00時間00分00秒,04時間39分21秒
71500000,00時間00分39秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,04時間40分00秒
71600000,00時間00分51秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分48秒,00時間00分02秒,00時間00分00秒,04時間40分51秒
71700000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,04時間41分29秒
71800000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間42分20秒
71900000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分00秒,00時間00分00秒,04時間42分56秒
72000000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間43分33秒
72100000,00時間00分52秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分02秒,00時間00分00秒,04時間44分26秒
72200000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分35秒,00時間00分01秒,00時間00分00秒,04時間45分03秒
72300000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間45分42秒
72400000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分01秒,00時間00分00秒,04時間46分33秒
72500000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分01秒,00時間00分00秒,04時間47分11秒
72600000,00時間00分38秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分02秒,00時間00分00秒,04時間47分49秒
72700000,00時間00分50秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分49秒,00時間00分00秒,00時間00分00秒,04時間48分39秒
72800000,00時間00分37秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分36秒,00時間00分00秒,00時間00分00秒,04時間49分17秒
