件数目,バッチ当たりの登録合計時間,インデックスの削除時間,インデックスの作成時間,トランザクション開始時間,インザート時間,インザートコミット時間,インデックス作成コミット時間,合計経過時間
14300000,00時間00分16秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分08秒,00時間00分00秒,00時間18分35秒
14400000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分02秒,00時間00分00秒,00時間18分46秒
14500000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間18分54秒
14600000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分08秒,00時間00分00秒,00時間19分11秒
14700000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分08秒,00時間00分01秒,00時間00分00秒,00時間19分21秒
14800000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間19分29秒
14900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間19分38秒
15000000,00時間00分35秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分33秒,00時間00分01秒,00時間00分00秒,00時間20分13秒
15100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間20分22秒
15200000,00時間00分19秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分12秒,00時間00分07秒,00時間00分00秒,00時間20分42秒
15300000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間20分49秒
15400000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間20分57秒
15500000,00時間00分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分09秒,00時間00分08秒,00時間00分00秒,00時間21分16秒
15600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分02秒,00時間00分00秒,00時間21分25秒
15700000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間21分33秒
15800000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分14秒,00時間00分06秒,00時間00分00秒,00時間21分54秒
15900000,00時間00分21秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分19秒,00時間00分02秒,00時間00分00秒,00時間22分16秒
16000000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分02秒,00時間00分00秒,00時間22分53秒
16100000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分01秒,00時間00分00秒,00時間23分00秒
16200000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間23分09秒
16300000,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分16秒,00時間00分01秒,00時間00分00秒,00時間23分27秒
16400000,00時間00分10秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分02秒,00時間00分00秒,00時間23分37秒
16500000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間23分46秒
16600000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間23分55秒
16700000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分11秒,00時間00分08秒,00時間00分00秒,00時間24分15秒
16800000,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間24分23秒
16900000,00時間00分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分10秒,00時間00分07秒,00時間00分00秒,00時間24分41秒
17000000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分01秒,00時間00分00秒,00時間24分50秒
17100000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分07秒,00時間00分00秒,00時間00分00秒,00時間24分59秒
17200000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間25分07秒
17300000,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分20秒,00時間00分00秒,00時間00分00秒,00時間25分28秒
17400000,00時間00分36秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分34秒,00時間00分01秒,00時間00分00秒,00時間26分04秒
17500000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分02秒,00時間00分00秒,00時間26分12秒
17600000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分05秒,00時間00分03秒,00時間00分00秒,00時間26分22秒
17700000,00時間00分18秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分17秒,00時間00分00秒,00時間00分00秒,00時間26分40秒
17800000,00時間00分09秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分02秒,00時間00分00秒,00時間26分49秒
17900000,00時間00分08秒,00時間00分00秒,00時間00分00秒,00時間00分00秒,00時間00分06秒,00時間00分01秒,00時間00分00秒,00時間26分57秒
